"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
2.975760217E1,-1.100000381E0,-7.230000305E1,-2.550000191E1
2.976805440E1,-1.000000000E0,-7.230000305E1,-2.550000191E1
2.977759886E1,-1.000000000E0,-7.219999695E1,-2.550000191E1
2.978766444E1,-1.000000000E0,-7.219999695E1,-2.550000191E1
2.979760352E1,-1.000000000E0,-7.230000305E1,-2.560000038E1
2.980758321E1,-8.999996185E-1,-7.219999695E1,-2.550000191E1
2.981759771E1,-8.999996185E-1,-7.219999695E1,-2.550000191E1
2.982758598E1,-8.999996185E-1,-7.219999695E1,-2.550000191E1
2.983771136E1,-8.999996185E-1,-7.219999695E1,-2.550000191E1
2.984759583E1,-7.999992371E-1,-7.219999695E1,-2.550000191E1
2.986012967E1,-7.999992371E-1,-7.219999695E1,-2.550000191E1
2.987048287E1,-7.999992371E-1,-7.219999695E1,-2.560000038E1
2.988760329E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.989837363E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.990758221E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.991763387E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.992759725E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.993934267E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.994767840E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.996302925E1,-8.999996185E-1,-7.240000153E1,-2.560000038E1
2.997764648E1,-8.999996185E-1,-7.230000305E1,-2.560000038E1
2.998760037E1,-1.000000000E0,-7.240000153E1,-2.560000038E1
2.999761994E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.000759948E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.001763656E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.002758413E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.003761187E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.004756521E1,-1.000000000E0,-7.240000153E1,-2.580000114E1
3.005763771E1,-1.000000000E0,-7.240000153E1,-2.580000114E1
3.006759225E1,-1.000000000E0,-7.240000153E1,-2.580000114E1
3.007759487E1,-1.100000381E0,-7.240000153E1,-2.589999962E1
3.008761883E1,-1.100000381E0,-7.240000153E1,-2.580000114E1
3.009764279E1,-1.000000000E0,-7.240000153E1,-2.580000114E1
3.010759487E1,-1.100000381E0,-7.240000153E1,-2.580000114E1
3.011761452E1,-1.100000381E0,-7.250000000E1,-2.580000114E1
3.012759325E1,-1.200000763E0,-7.250000000E1,-2.580000114E1
3.013786886E1,-1.200000763E0,-7.250000000E1,-2.589999962E1
3.014758410E1,-1.200000763E0,-7.250000000E1,-2.589999962E1
3.015768663E1,-1.200000763E0,-7.250000000E1,-2.589999962E1
3.016759217E1,-1.200000763E0,-7.250000000E1,-2.589999962E1
3.017767686E1,-1.200000763E0,-7.250000000E1,-2.580000114E1
3.018762833E1,-1.200000763E0,-7.250000000E1,-2.580000114E1
3.019791452E1,-1.200000763E0,-7.250000000E1,-2.580000114E1
3.020757294E1,-1.200000763E0,-7.240000153E1,-2.580000114E1
3.021759536E1,-1.100000381E0,-7.240000153E1,-2.589999962E1
3.022758479E1,-1.100000381E0,-7.240000153E1,-2.580000114E1
3.023764029E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.024757313E1,-1.100000381E0,-7.230000305E1,-2.580000114E1
3.025760617E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.026798779E1,-1.000000000E0,-7.219999695E1,-2.580000114E1
3.027759279E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.028758013E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.029765967E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.030758606E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.031759394E1,-1.000000000E0,-7.230000305E1,-2.580000114E1
3.032766013E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.033761971E1,-1.000000000E0,-7.230000305E1,-2.570000267E1
3.034761513E1,-1.000000000E0,-7.219999695E1,-2.560000038E1
3.035761056E1,-1.000000000E0,-7.230000305E1,-2.560000038E1
3.036759840E1,-1.000000000E0,-7.230000305E1,-2.560000038E1
3.037765198E1,-1.000000000E0,-7.230000305E1,-2.560000038E1
3.038757225E1,-1.000000000E0,-7.240000153E1,-2.570000267E1
3.039759910E1,-1.100000381E0,-7.250000000E1,-2.570000267E1
3.040760890E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.041760879E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.042759910E1,-1.100000381E0,-7.250000000E1,-2.570000267E1
3.043760110E1,-1.100000381E0,-7.250000000E1,-2.570000267E1
3.044758552E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.045762129E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.046758960E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.047760552E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.048764110E1,-1.100000381E0,-7.250000000E1,-2.550000191E1
3.049758748E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.050761286E1,-1.000000000E0,-7.250000000E1,-2.550000191E1
3.051762210E1,-1.000000000E0,-7.250000000E1,-2.550000191E1
3.052828021E1,-1.100000381E0,-7.250000000E1,-2.550000191E1
3.053759721E1,-1.100000381E0,-7.250000000E1,-2.560000038E1
3.054760479E1,-1.100000381E0,-7.259999847E1,-2.560000038E1
3.055762329E1,-1.200000763E0,-7.259999847E1,-2.560000038E1
3.056759417E1,-1.200000763E0,-7.259999847E1,-2.560000038E1
3.057760006E1,-1.200000763E0,-7.259999847E1,-2.570000267E1
3.058764502E1,-1.200000763E0,-7.259999847E1,-2.570000267E1
3.059762056E1,-1.200000763E0,-7.259999847E1,-2.570000267E1
3.060760571E1,-1.200000763E0,-7.259999847E1,-2.570000267E1
3.061759448E1,-1.200000763E0,-7.259999847E1,-2.570000267E1
3.062759233E1,-1.200000763E0,-7.259999847E1,-2.580000114E1
3.063761321E1,-1.200000763E0,-7.250000000E1,-2.580000114E1
3.064759756E1,-1.200000763E0,-7.259999847E1,-2.589999962E1
