"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.615870880E-1,1.788634956E-1,-1.459621787E-1,9.936794281E0,9.939475725E0
2.640861500E-1,1.788634956E-1,-1.363908947E-1,9.903294563E0,9.905848668E0
2.665854730E-1,1.740778536E-1,-1.555334777E-1,9.888937950E0,9.891692855E0
2.690894320E-1,1.788634956E-1,-1.124626622E-1,9.917651176E0,9.919901454E0
2.715933900E-1,1.836491376E-1,-1.507478207E-1,9.946365356E0,9.949202768E0
2.740927130E-1,1.214357466E-1,-1.459621787E-1,9.893723488E0,9.895545263E0
2.765919840E-1,1.932204217E-1,-1.172483116E-1,9.912865639E0,9.915441819E0
2.790913070E-1,1.645065546E-1,-1.555334777E-1,9.912865639E0,9.915450481E0
2.815906300E-1,1.405783296E-1,-1.028913707E-1,9.936794281E0,9.938321261E0
2.840899530E-1,1.788634956E-1,-1.124626622E-1,9.922437668E0,9.924686860E0
2.865887030E-1,1.645065546E-1,-1.411765367E-1,9.941579819E0,9.943943006E0
2.890778170E-1,1.645065546E-1,-1.507478207E-1,9.922437668E0,9.924946175E0
2.915669320E-1,1.501496136E-1,-1.268195957E-1,9.908080101E0,9.910029233E0
2.940656820E-1,1.453639716E-1,-1.507478207E-1,9.941579819E0,9.943785239E0
2.965644320E-1,1.597209126E-1,-1.172483116E-1,9.898509026E0,9.900491850E0
2.990631820E-1,1.501496136E-1,-1.220339537E-1,9.936794281E0,9.938677869E0
3.015619840E-1,1.740778536E-1,-8.374879509E-2,9.908080101E0,9.909963080E0
3.040607340E-1,1.405783296E-1,-1.459621787E-1,9.908080101E0,9.910152295E0
3.065601090E-1,1.597209126E-1,-1.603191197E-1,9.884152412E0,9.886742735E0
3.090809420E-1,2.123630047E-1,-1.555334777E-1,9.893723488E0,9.897224518E0
3.115803170E-1,1.740778536E-1,-1.459621787E-1,9.917651176E0,9.920252664E0
3.140797440E-1,1.932204217E-1,-1.794617027E-1,9.898509026E0,9.902021085E0
3.165791190E-1,1.692921966E-1,-1.363908947E-1,9.936794281E0,9.939172144E0
3.190784940E-1,1.357926875E-1,-1.603191197E-1,9.922437668E0,9.924661765E0
3.215779210E-1,2.027917206E-1,-1.220339537E-1,9.922437668E0,9.925259999E0
3.240772960E-1,1.980060786E-1,-1.268195957E-1,9.893723488E0,9.896517270E0
