"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.644115371E0,-2.460042238E0,6.410475254E0,6.697779179E0
1.654138486E0,-2.479195833E0,6.405686855E0,6.692990780E0
1.664184774E0,-2.479195833E0,6.405686855E0,6.692990780E0
1.674204757E0,-2.469619036E0,6.410475254E0,6.740874767E0
1.684221195E0,-2.455253839E0,6.429628849E0,6.702567577E0
1.694244708E0,-2.464830637E0,6.405686855E0,6.692990780E0
1.704383532E0,-2.464830637E0,6.391321659E0,6.692990780E0
1.714311479E0,-2.460042238E0,6.396110058E0,6.702567577E0
1.724333957E0,-2.488772631E0,6.405686855E0,6.716932774E0
1.734350756E0,-2.474407434E0,6.420052052E0,6.692990780E0
1.744460550E0,-2.479195833E0,6.400898457E0,6.697779179E0
1.754431969E0,-2.469619036E0,6.420052052E0,6.712144375E0
1.764442510E0,-2.460042238E0,6.415263653E0,6.692990780E0
1.774479207E0,-2.464830637E0,6.420052052E0,6.702567577E0
1.784519371E0,-2.464830637E0,6.405686855E0,6.697779179E0
1.794629134E0,-2.464830637E0,6.405686855E0,6.712144375E0
1.804561570E0,-2.479195833E0,6.429628849E0,6.683413982E0
1.814579041E0,-2.464830637E0,6.405686855E0,6.702567577E0
1.824680995E0,-2.450465441E0,6.415263653E0,6.721721172E0
1.834752393E0,-2.479195833E0,6.396110058E0,6.688202381E0
1.844679709E0,-2.469619036E0,6.405686855E0,6.669048786E0
1.854694452E0,-2.469619036E0,6.420052052E0,6.683413982E0
1.864710233E0,-2.450465441E0,6.410475254E0,6.702567577E0
1.874739333E0,-2.479195833E0,6.400898457E0,6.707355976E0
1.884760741E0,-2.445677042E0,6.410475254E0,6.697779179E0
1.894792498E0,-2.455253839E0,6.410475254E0,6.692990780E0
1.904832884E0,-2.469619036E0,6.396110058E0,6.673837185E0
1.914846766E0,-2.455253839E0,6.376956463E0,6.683413982E0
1.924877083E0,-2.469619036E0,6.424840450E0,6.692990780E0
1.934896306E0,-2.479195833E0,6.415263653E0,6.673837185E0
1.944934122E0,-2.479195833E0,6.396110058E0,6.707355976E0
1.954962344E0,-2.464830637E0,6.396110058E0,6.678625584E0
1.964982886E0,-2.455253839E0,6.391321659E0,6.673837185E0
1.975009690E0,-2.469619036E0,6.391321659E0,6.716932774E0
1.985081272E0,-2.464830637E0,6.405686855E0,6.678625584E0
1.995119424E0,-2.479195833E0,6.396110058E0,6.669048786E0
2.005168973E0,-2.464830637E0,6.410475254E0,6.683413982E0
2.015174778E0,-2.474407434E0,6.420052052E0,6.688202381E0
2.025223964E0,-2.469619036E0,6.391321659E0,6.707355976E0
2.035294338E0,-2.464830637E0,6.400898457E0,6.678625584E0
2.045211765E0,-2.464830637E0,6.415263653E0,6.716932774E0
2.055232170E0,-2.483984232E0,6.410475254E0,6.721721172E0
2.065278635E0,-2.488772631E0,6.415263653E0,6.692990780E0
2.075298004E0,-2.479195833E0,6.400898457E0,6.712144375E0
2.085310087E0,-2.455253839E0,6.415263653E0,6.702567577E0
2.095450497E0,-2.474407434E0,6.405686855E0,6.697779179E0
2.105400674E0,-2.460042238E0,6.415263653E0,6.688202381E0
2.115403549E0,-2.464830637E0,6.405686855E0,6.697779179E0
2.125429690E0,-2.474407434E0,6.420052052E0,6.688202381E0
2.135501779E0,-2.469619036E0,6.386533260E0,6.669048786E0
2.145506674E0,-2.455253839E0,6.410475254E0,6.688202381E0
2.155562997E0,-2.479195833E0,6.410475254E0,6.688202381E0
2.165547269E0,-2.498349428E0,6.405686855E0,6.716932774E0
2.175568601E0,-2.479195833E0,6.396110058E0,6.688202381E0
2.185672116E0,-2.474407434E0,6.391321659E0,6.683413982E0
2.195641125E0,-2.469619036E0,6.391321659E0,6.692990780E0
2.205650760E0,-2.469619036E0,6.410475254E0,6.712144375E0
2.215759749E0,-2.469619036E0,6.405686855E0,6.673837185E0
2.225734521E0,-2.474407434E0,6.400898457E0,6.654683590E0
2.235824811E0,-2.455253839E0,6.424840450E0,6.669048786E0
2.245767807E0,-2.460042238E0,6.405686855E0,6.688202381E0
2.255901065E0,-2.464830637E0,6.400898457E0,6.678625584E0
2.265853965E0,-2.464830637E0,6.429628849E0,6.697779179E0
2.275860510E0,-2.474407434E0,6.405686855E0,6.683413982E0
2.285949879E0,-2.464830637E0,6.400898457E0,6.707355976E0
2.295973935E0,-2.479195833E0,6.410475254E0,6.707355976E0
2.306020840E0,-2.469619036E0,6.396110058E0,6.697779179E0
2.315970925E0,-2.479195833E0,6.386533260E0,6.707355976E0
2.325996739E0,-2.460042238E0,6.410475254E0,6.673837185E0
2.336035584E0,-2.464830637E0,6.410475254E0,6.692990780E0
2.346075507E0,-2.469619036E0,6.391321659E0,6.692990780E0
2.356091561E0,-2.474407434E0,6.415263653E0,6.731297970E0
2.366119578E0,-2.488772631E0,6.415263653E0,6.707355976E0
2.376155857E0,-2.469619036E0,6.405686855E0,6.692990780E0
2.386267923E0,-2.455253839E0,6.420052052E0,6.697779179E0
2.396270480E0,-2.464830637E0,6.386533260E0,6.678625584E0
2.406223699E0,-2.479195833E0,6.400898457E0,6.673837185E0
2.416283758E0,-2.474407434E0,6.405686855E0,6.702567577E0
2.426350282E0,-2.488772631E0,6.410475254E0,6.659471989E0
2.436319764E0,-2.474407434E0,6.400898457E0,6.659471989E0
2.446328788E0,-2.469619036E0,6.415263653E0,6.697779179E0
2.456362524E0,-2.479195833E0,6.400898457E0,6.678625584E0
2.466458291E0,-2.445677042E0,6.415263653E0,6.697779179E0
2.476482190E0,-2.483984232E0,6.429628849E0,6.697779179E0
2.486504244E0,-2.479195833E0,6.405686855E0,6.707355976E0
2.496461345E0,-2.474407434E0,6.410475254E0,6.740874767E0
2.506501893E0,-2.464830637E0,6.424840450E0,6.716932774E0
2.516570721E0,-2.450465441E0,6.400898457E0,6.702567577E0
2.526591095E0,-2.464830637E0,6.410475254E0,6.697779179E0
2.536595309E0,-2.460042238E0,6.439205647E0,6.707355976E0
2.546612746E0,-2.469619036E0,6.420052052E0,6.688202381E0
2.556669426E0,-2.455253839E0,6.424840450E0,6.688202381E0
2.566718180E0,-2.469619036E0,6.400898457E0,6.692990780E0
2.576690111E0,-2.469619036E0,6.410475254E0,6.702567577E0
